# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-06 21:07:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/3c/q2s2z4v92bx59zp2nvycr10c0000gn/T/tmpw192n7x9/_a7ex_du.json
# init = 2 (Default)
# random
#   seed = 84732
# output
#   file = /Users/kamilbaradziej/PythonProjects/DataAnalytics/Lab1_Python_review/out/bern_1-20220306220754_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.993755
# Diagonal elements of inverse mass matrix:
# 0.240503
-11.8567,0.968729,0.993755,2,3,0,11.8665,0.651122
-11.6361,0.850222,0.993755,1,3,0,13.3616,0.371604
-11.4314,0.897625,0.993755,1,3,0,12.602,0.60215
-11.0974,0.987297,0.993755,1,3,0,11.5156,0.485121
-11.106,0.997967,0.993755,1,1,0,11.1064,0.477883
-11.2,0.990246,0.993755,2,3,0,11.2004,0.558323
-11.9925,0.570964,0.993755,2,3,0,14.675,0.336716
-11.2121,0.997572,0.993755,1,3,0,11.8435,0.438542
-11.128,0.989357,0.993755,2,3,0,11.3055,0.465738
-11.6688,0.896317,0.993755,1,3,0,11.7179,0.36795
-11.1478,1,0.993755,2,3,0,11.555,0.542288
-11.0915,0.99796,0.993755,1,3,0,11.1612,0.494102
-11.0929,0.939106,0.993755,2,3,0,11.4894,0.49113
-11.9167,0.890005,0.993755,2,3,0,12.0181,0.656634
-12.2208,0.937951,0.993755,1,1,0,12.3346,0.681504
-11.1384,0.992263,0.993755,1,3,0,12.1093,0.538695
-11.0908,0.999714,0.993755,2,3,0,11.1403,0.503533
-11.324,0.945464,0.993755,1,3,0,11.383,0.584833
-11.1567,0.999925,0.993755,2,7,0,11.2866,0.454547
-11.2384,0.903593,0.993755,2,3,0,11.8549,0.567701
-11.5261,0.935815,0.993755,1,1,0,11.5272,0.615122
-12.7475,0.875913,0.993755,2,7,0,12.763,0.283724
-14.9559,0.676784,0.993755,1,1,0,14.9655,0.190488
-13.8192,1,0.993755,1,1,0,15.0225,0.231199
-12.9907,1,0.993755,1,1,0,13.8644,0.270089
-12.2865,1,0.993755,1,1,0,12.959,0.313668
-12.0924,1,0.993755,1,1,0,12.4188,0.328446
-11.1081,1,0.993755,2,3,0,11.9354,0.523542
-11.2587,0.983341,0.993755,2,3,0,11.261,0.427847
-11.2272,1,0.993755,1,1,0,11.2761,0.434888
-11.5045,0.7895,0.993755,2,3,0,12.8355,0.612303
-11.3422,0.921886,0.993755,1,3,0,12.2195,0.411981
-11.2239,1,0.993755,1,1,0,11.3251,0.435668
-11.2445,0.995209,0.993755,1,1,0,11.2709,0.430931
-11.1405,1,0.993755,1,1,0,11.2203,0.460473
-11.1221,0.981799,0.993755,2,3,0,11.2872,0.531471
-11.403,0.94789,0.993755,1,3,0,11.4181,0.597887
-11.2004,1,0.993755,1,1,0,11.3572,0.558446
-11.64,0.845167,0.993755,1,3,0,12.2033,0.371162
-11.1441,1,0.993755,2,3,0,11.5319,0.540925
-13.2063,0.625575,0.993755,1,3,0,13.5943,0.741042
