# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-06 21:07:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/3c/q2s2z4v92bx59zp2nvycr10c0000gn/T/tmpw192n7x9/_a7ex_du.json
# init = 2 (Default)
# random
#   seed = 84732
# output
#   file = /Users/kamilbaradziej/PythonProjects/DataAnalytics/Lab1_Python_review/out/bern_1-20220306220754_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.963569
# Diagonal elements of inverse mass matrix:
# 0.273293
-11.2416,1,0.963569,1,1,0,11.4786,0.431567
-11.1336,1,0.963569,1,1,0,11.2147,0.463295
-11.6143,0.905079,0.963569,1,3,0,11.639,0.374106
-11.1961,0.999972,0.963569,1,3,0,11.5126,0.442709
-11.5166,0.882107,0.963569,1,3,0,11.9385,0.613896
-11.3827,1,0.963569,2,3,0,11.529,0.594721
-11.0978,1,0.963569,2,3,0,11.3456,0.484786
-11.1803,0.983012,0.963569,1,3,0,11.1841,0.447146
-12.1064,0.826918,0.963569,1,3,0,12.1553,0.327324
-11.1028,0.988897,0.963569,2,3,0,12.1672,0.480274
-11.1043,0.981897,0.963569,2,3,0,11.2206,0.520891
-11.1057,0.993447,0.963569,2,3,0,11.1538,0.478139
-11.2613,0.968499,0.963569,1,3,0,11.2679,0.427303
-11.36,0.942257,0.963569,2,3,0,11.7865,0.408972
-11.7494,0.857817,0.963569,2,3,0,12.6097,0.640601
-11.4376,0.917672,0.963569,2,3,0,12.6581,0.396943
-11.7359,0.977029,0.963569,2,3,0,11.7686,0.360787
-11.309,1,0.963569,2,3,0,11.6358,0.417903
-11.2241,0.965434,0.963569,2,3,0,11.6312,0.435631
-11.2857,0.994925,0.963569,2,3,0,11.3068,0.422336
-11.1091,0.988795,0.963569,2,3,0,11.3682,0.475826
-11.9973,0.880779,0.963569,2,3,0,12.1001,0.663687
-11.2804,0.99978,0.963569,1,3,0,11.8264,0.576603
-13.4665,0.570576,0.963569,2,3,0,15.1036,0.246539
-11.1983,0.916729,0.963569,1,3,0,14.1901,0.557873
-11.1044,1,0.963569,2,3,0,11.177,0.479035
-12.0226,0.768665,0.963569,1,3,0,12.3983,0.665828
-11.5004,0.886765,0.963569,1,3,0,13.1583,0.388233
-11.8345,0.923853,0.963569,1,1,0,11.8745,0.350986
-11.8174,1,0.963569,2,3,0,12.0024,0.352626
-11.2944,1,0.963569,2,3,0,11.6908,0.42065
-11.0976,0.993099,0.963569,2,3,0,11.3413,0.484978
-11.4738,0.916181,0.963569,1,3,0,11.5242,0.391835
-12.3355,0.817261,0.963569,1,1,0,12.3368,0.310176
-11.267,0.949612,0.963569,2,3,0,12.7975,0.426116
-11.2184,1,0.963569,1,1,0,11.2769,0.436985
-11.1475,0.982137,0.963569,1,3,0,11.3711,0.542166
-11.1533,0.998529,0.963569,1,1,0,11.1664,0.544263
-11.2541,0.975055,0.963569,1,1,0,11.2565,0.571163
-11.4243,0.986295,0.963569,2,3,0,11.4375,0.601104
-11.138,0.978193,0.963569,2,3,0,11.5964,0.538513
-11.138,0.609027,0.963569,1,3,0,13.0076,0.538513
-11.1328,1,0.963569,2,3,0,11.1462,0.536375
-11.1208,0.991703,0.963569,1,3,0,11.205,0.469177
-11.1121,0.6612,0.963569,2,3,0,13.7586,0.47394
-12.09,0.794939,0.963569,1,3,0,12.2255,0.328631
-11.6953,0.905751,0.963569,2,3,0,13.2471,0.365066
-11.0904,0.997989,0.963569,1,3,0,11.7006,0.501526
-12.9251,0.754648,0.963569,2,3,0,13.2499,0.273644
-11.1236,0.952532,0.963569,1,3,0,13.2539,0.532175
-11.1316,0.989409,0.963569,2,3,0,11.2136,0.535856
-11.7699,0.871755,0.963569,1,3,0,11.8165,0.642684
-11.2941,1,0.963569,1,1,0,11.6553,0.57928
-11.1303,1,0.963569,2,3,0,11.2538,0.464693
-11.151,0.86289,0.963569,2,3,0,12.0418,0.543441
-11.1098,1,0.963569,1,1,0,11.1409,0.524653
-11.1366,0.986962,0.963569,1,3,0,11.1961,0.462038
-11.3152,0.968877,0.963569,1,3,0,11.3156,0.416766
-11.1007,0.991595,0.963569,1,3,0,11.3727,0.517991
-11.4801,0.916979,0.963569,1,3,0,11.5244,0.609027
-11.4801,0.808896,0.963569,1,3,0,12.5276,0.609027
-11.2687,1,0.963569,1,1,0,11.4399,0.574235
-11.1796,0.974039,0.963569,2,3,0,11.4994,0.552665
-11.2489,0.994272,0.963569,2,3,0,11.259,0.570047
-12.8939,0.713512,0.963569,1,3,0,12.9978,0.724634
-11.0906,1,0.963569,2,3,0,12.7461,0.497287
-11.2543,0.971517,0.963569,2,3,0,11.3033,0.428782
-11.224,1,0.963569,2,3,0,11.2735,0.435655
-11.609,0.909552,0.963569,1,1,0,11.609,0.374725
-11.7206,0.865438,0.963569,1,3,0,12.9744,0.637616
-11.2886,1,0.963569,2,3,0,11.6171,0.578215
-11.1123,1,0.963569,2,3,0,11.2504,0.473836
-11.3278,0.951627,0.963569,2,3,0,11.4796,0.414487
-11.3278,0.892867,0.963569,1,1,0,11.6867,0.414487
-11.951,0.772889,0.963569,1,3,0,12.8707,0.659683
-13.1885,0.765185,0.963569,1,1,0,13.2093,0.740154
-12.453,1,0.963569,1,1,0,13.1892,0.697873
-11.6092,1,0.963569,2,3,0,12.2708,0.625297
-11.6092,0.590977,0.963569,1,3,0,14.4353,0.625297
-11.2018,1,0.963569,2,3,0,11.5094,0.44119
-11.4987,0.976381,0.963569,2,3,0,11.4988,0.388466
-11.4589,1,0.963569,2,3,0,11.5707,0.39391
-14.8373,0.656421,0.963569,2,3,0,14.8754,0.805768
-17.1703,0.717935,0.963569,1,1,0,17.3566,0.864806
-14.267,1,0.963569,2,3,0,16.803,0.786233
-13.4939,1,0.963569,1,1,0,14.4471,0.754711
-11.2067,0.986634,0.963569,1,3,0,13.1944,0.560088
-11.2971,0.977763,0.963569,1,1,0,11.3101,0.579857
-11.1117,0.987737,0.963569,2,3,0,11.3882,0.525826
-11.4712,0.927345,0.963569,2,3,0,11.6699,0.607809
-11.4649,1,0.963569,1,1,0,11.5609,0.60693
-11.6789,0.85478,0.963569,1,3,0,12.6719,0.366842
-11.9727,0.791357,0.963569,1,3,0,13.5269,0.661576
-11.2463,0.934766,0.963569,1,3,0,12.5358,0.430538
-11.2681,0.994592,0.963569,1,1,0,11.3021,0.425886
-11.173,0.975099,0.963569,1,3,0,11.4871,0.550692
-11.1641,0.922274,0.963569,2,3,0,11.7217,0.452094
-11.3645,0.951214,0.963569,1,1,0,11.3646,0.408226
-11.1781,0.969844,0.963569,1,3,0,11.6227,0.552235
-11.0963,1,0.963569,2,3,0,11.1631,0.486358
-11.097,0.995812,0.963569,2,3,0,11.1256,0.514456
-11.0956,0.919084,0.963569,2,3,0,11.6022,0.487197
-12.556,0.664554,0.963569,1,3,0,13.0587,0.704573
-13.4595,0.833345,0.963569,1,1,0,13.6006,0.753142
-11.1067,0.98153,0.963569,1,3,0,13.3665,0.522576
-11.1805,0.97417,0.963569,1,3,0,11.2558,0.447063
-11.1595,0.887319,0.963569,2,3,0,11.9647,0.546369
-11.9822,0.903695,0.963569,2,3,0,12.0216,0.337602
-11.1755,0.999097,0.963569,1,3,0,11.82,0.448552
-11.1236,0.804374,0.963569,2,3,0,12.5447,0.532185
-11.1079,0.858819,0.963569,2,3,0,12.0547,0.476586
-11.1195,0.992529,0.963569,2,3,0,11.1682,0.469866
-11.1161,0.922053,0.963569,2,3,0,11.6243,0.528319
-11.1391,0.994193,0.963569,1,1,0,11.1417,0.538975
-11.1942,0.995414,0.963569,2,3,0,11.1979,0.556777
-11.1947,0.970311,0.963569,2,3,0,11.4578,0.443091
-11.4208,0.908452,0.963569,1,3,0,11.7891,0.600579
-11.4208,0.84514,0.963569,1,1,0,11.9648,0.600579
-11.5494,0.899207,0.963569,2,3,0,12.3808,0.381927
-11.1654,0.999988,0.963569,1,3,0,11.4584,0.451698
-12.4144,0.671582,0.963569,1,3,0,13.1775,0.695278
-11.9868,0.888489,0.963569,2,3,0,13.9604,0.662788
-11.1709,1,0.963569,2,3,0,11.8167,0.449961
-11.1637,1,0.963569,1,1,0,11.1859,0.45223
-11.0906,0.999247,0.963569,1,3,0,11.1674,0.502901
-11.0905,0.992618,0.963569,2,3,0,11.1346,0.498072
-11.1568,0.988214,0.963569,2,3,0,11.1775,0.454512
-11.3644,0.965759,0.963569,1,3,0,11.3645,0.408238
-15.0971,0.58193,0.963569,2,3,0,16.2292,0.186161
-12.6626,1,0.963569,1,1,0,14.6436,0.288797
-12.4651,1,0.963569,2,3,0,12.8885,0.301325
-11.9619,1,0.963569,1,1,0,12.4564,0.339361
-11.3219,1,0.963569,1,1,0,11.8076,0.415549
-11.5131,0.890347,0.963569,1,3,0,12.1591,0.613436
-11.6713,0.962956,0.963569,1,1,0,11.7411,0.632331
-11.1065,0.986245,0.963569,2,3,0,11.7639,0.522472
-11.0962,1,0.963569,1,1,0,11.1041,0.513515
-11.7252,0.840142,0.963569,1,3,0,11.9541,0.361902
-11.7081,1,0.963569,1,1,0,11.8676,0.363694
-11.4362,0.910131,0.963569,1,3,0,12.5982,0.602843
-12.0132,0.872063,0.963569,1,1,0,12.0219,0.66504
-11.1969,0.960884,0.963569,2,3,0,12.3431,0.5575
-11.2482,0.987258,0.963569,1,1,0,11.2647,0.569892
-11.2108,1,0.963569,2,3,0,11.2611,0.561133
-11.0989,0.994161,0.963569,1,3,0,11.2511,0.483694
-11.6257,0.883269,0.963569,1,3,0,11.702,0.372789
-11.3036,0.935541,0.963569,1,3,0,12.2225,0.581088
-14.661,0.474725,0.963569,1,3,0,15.0603,0.800012
-11.0904,1,0.963569,2,3,0,14.2249,0.501679
-11.0906,0.986621,0.963569,2,3,0,11.1701,0.497162
-11.9438,0.802525,0.963569,1,3,0,12.1517,0.34095
-11.4542,1,0.963569,1,1,0,11.8443,0.394571
-13.2041,0.740092,0.963569,1,3,0,13.2392,0.25907
-11.247,0.991482,0.963569,1,3,0,12.8853,0.43038
-11.3058,0.995172,0.963569,2,3,0,11.3327,0.418494
