# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-06 21:08:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/3c/q2s2z4v92bx59zp2nvycr10c0000gn/T/tmpw192n7x9/1mtvm5gg.json
# init = 2 (Default)
# random
#   seed = 48145
# output
#   file = /Users/kamilbaradziej/PythonProjects/DataAnalytics/Lab1_Python_review/out/bern_1-20220306220808_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.06075
# Diagonal elements of inverse mass matrix:
# 0.235772
-11.1582,0.980963,1.06075,1,3,0,11.2147,0.545962
-11.0932,1,1.06075,2,3,0,11.1499,0.490499
-11.1016,0.887158,1.06075,2,3,0,11.7744,0.518701
-11.135,0.991192,1.06075,1,1,0,11.135,0.537296
-11.1129,1,1.06075,1,1,0,11.1316,0.526516
-11.8601,0.80202,1.06075,1,3,0,12.1771,0.348564
-12.1309,0.937753,1.06075,1,1,0,12.265,0.325385
-11.1035,0.983758,1.06075,1,3,0,12.2128,0.520247
-11.1188,0.937669,1.06075,2,3,0,11.4781,0.470211
-11.1672,0.979122,1.06075,1,3,0,11.2516,0.548875
-11.1085,1,1.06075,2,3,0,11.1521,0.476202
-11.1592,0.986701,1.06075,1,1,0,11.1593,0.453725
-11.191,0.99169,1.06075,1,1,0,11.2029,0.444106
-11.191,0.775198,1.06075,1,3,0,12.1229,0.444106
-11.1994,0.825493,1.06075,2,3,0,12.3975,0.558174
-12.4513,0.852338,1.06075,2,3,0,12.5294,0.302239
-11.5001,1,1.06075,2,3,0,12.2227,0.388277
-15.5401,0.588838,1.06075,2,3,0,15.62,0.826584
-11.3983,0.965373,1.06075,1,3,0,14.9573,0.597155
-11.6695,0.977987,1.06075,2,3,0,11.7027,0.632134
-11.1103,1,1.06075,2,3,0,11.597,0.475074
-11.4568,0.900889,1.06075,1,3,0,11.6321,0.605801
-11.4568,0.671165,1.06075,1,3,0,13.4811,0.605801
-11.295,1,1.06075,1,1,0,11.4404,0.579467
-13.2932,0.783376,1.06075,2,3,0,13.3759,0.254697
-12.4306,1,1.06075,1,1,0,13.2526,0.303628
-11.6426,1,1.06075,1,1,0,12.2671,0.370865
-11.0904,1,1.06075,1,3,0,11.6135,0.499101
-11.092,0.864417,1.06075,2,3,0,11.9176,0.492776
-11.5243,0.897372,1.06075,1,3,0,11.5961,0.385109
-11.2087,1,1.06075,1,1,0,11.4435,0.439422
-13.9153,0.524352,1.06075,1,3,0,14.219,0.22728
-13.1126,1,1.06075,1,1,0,14.0319,0.263693
-11.5226,0.999119,1.06075,1,3,0,12.7386,0.385335
-11.3623,1,1.06075,1,1,0,11.5221,0.408596
-11.3137,1,1.06075,1,1,0,11.3975,0.417043
-11.8982,0.954266,1.06075,2,3,0,11.8992,0.345038
-11.1173,1,1.06075,1,3,0,11.7652,0.470987
-11.1901,0.993666,1.06075,2,3,0,11.1902,0.555655
-11.2512,0.709496,1.06075,2,3,0,13.2499,0.429454
-11.1993,1,1.06075,1,1,0,11.2563,0.441839
