# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-06 21:08:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/3c/q2s2z4v92bx59zp2nvycr10c0000gn/T/tmpw192n7x9/1mtvm5gg.json
# init = 2 (Default)
# random
#   seed = 48145
# output
#   file = /Users/kamilbaradziej/PythonProjects/DataAnalytics/Lab1_Python_review/out/bern_1-20220306220808_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.855686
# Diagonal elements of inverse mass matrix:
# 0.286042
-11.7688,0.969848,0.855686,1,1,0,11.8342,0.642573
-14.5724,0.743736,0.855686,2,7,0,14.6819,0.202973
-12.8759,1,0.855686,2,3,0,14.3283,0.276373
-14.566,0.7683,0.855686,1,1,0,14.5868,0.20319
-14.653,0.970058,0.855686,3,7,0,15.2123,0.200254
-13.7375,1,0.855686,1,1,0,14.7366,0.234616
-11.1421,1,0.855686,2,3,0,13.2458,0.540142
-11.2697,0.974011,0.855686,2,3,0,11.3829,0.574451
-11.1271,0.808086,0.855686,2,3,0,12.9007,0.533849
-11.2106,0.990745,0.855686,2,7,0,11.2163,0.438926
-11.2501,0.997303,0.855686,2,3,0,11.2654,0.429703
-11.1809,0.965747,0.855686,1,3,0,11.5768,0.553056
-11.1036,0.972433,0.855686,2,3,0,11.4134,0.479643
-11.198,0.944779,0.855686,2,3,0,11.5154,0.557806
-11.2191,0.995655,0.855686,1,1,0,11.236,0.563176
-11.7508,0.941058,0.855686,2,7,0,11.7608,0.35925
-12.0628,0.942523,0.855686,1,1,0,12.1222,0.33084
-11.7102,0.801029,0.855686,1,3,0,14.2723,0.636528
-11.4129,1,0.855686,1,1,0,11.6634,0.599391
-11.1722,0.999766,0.855686,2,7,0,11.3731,0.449563
-12.2204,0.888742,0.855686,2,3,0,12.2212,0.681477
-11.0968,0.977594,0.855686,1,3,0,12.3602,0.514233
-11.2707,0.966528,0.855686,1,3,0,11.3044,0.574645
-11.0911,0.896605,0.855686,2,3,0,12.112,0.495032
-11.8538,0.837593,0.855686,1,3,0,12.1465,0.349156
-11.8538,0.847905,0.855686,1,1,0,12.5964,0.349156
-11.1056,0.987483,0.855686,1,3,0,11.8867,0.478186
-11.0983,0.996399,0.855686,1,3,0,11.1351,0.515785
-11.0983,0.969449,0.855686,1,3,0,11.2548,0.515785
-11.2516,0.97141,0.855686,1,3,0,11.2768,0.570619
-11.3384,0.982411,0.855686,1,1,0,11.3528,0.587363
-11.8628,0.79643,0.855686,1,3,0,13.1191,0.348305
-11.5821,1,0.855686,1,1,0,11.8463,0.377917
-11.776,0.784311,0.855686,2,7,0,13.4927,0.643296
-11.6506,1,0.855686,1,1,0,11.8314,0.630032
-11.1418,0.946929,0.855686,1,3,0,12.0766,0.45997
-11.8508,0.879365,0.855686,1,3,0,11.9548,0.349441
-11.0904,1,0.855686,2,3,0,11.7483,0.501337
-11.1533,0.933499,0.855686,2,3,0,11.5752,0.455741
-11.1771,0.987908,0.855686,2,3,0,11.2808,0.44809
-11.1243,1,0.855686,1,1,0,11.1663,0.467485
-11.1889,0.986645,0.855686,1,1,0,11.1889,0.444683
-11.6216,0.846057,0.855686,2,3,0,12.4497,0.626739
-11.6186,1,0.855686,2,7,0,11.6304,0.373615
-11.5814,1,0.855686,1,1,0,11.7003,0.377996
-11.0929,0.980243,0.855686,1,3,0,11.7356,0.50894
-11.0929,0.467721,0.855686,1,3,0,14.8793,0.50894
-11.0995,0.998612,0.855686,2,3,0,11.1054,0.516935
-11.6481,0.891355,0.855686,1,3,0,11.7926,0.629757
-11.3033,0.916775,0.855686,1,3,0,12.5493,0.418959
-11.2046,1,0.855686,1,1,0,11.2885,0.440462
-12.9626,0.722823,0.855686,1,3,0,13.2799,0.271601
-11.8598,1,0.855686,1,1,0,12.7626,0.348588
-12.3052,0.920486,0.855686,1,1,0,12.3592,0.312325
-11.1178,1,0.855686,2,3,0,12.0828,0.529281
-11.0905,0.967957,0.855686,2,3,0,11.3562,0.501797
-11.7311,0.859632,0.855686,1,3,0,11.9913,0.638714
-12.5971,0.91416,0.855686,2,7,0,12.7678,0.292834
-12.5799,1,0.855686,2,7,0,12.6267,0.706089
-11.1536,1,0.855686,2,3,0,12.5573,0.544381
-11.0988,0.978147,0.855686,2,3,0,11.3332,0.483726
-11.1169,0.992546,0.855686,1,3,0,11.1585,0.528752
-11.0906,1,0.855686,2,3,0,11.1127,0.497482
-11.1923,0.892334,0.855686,2,3,0,11.8918,0.443741
-11.2206,0.994174,0.855686,1,1,0,11.2347,0.436465
-11.0966,0.998386,0.855686,1,3,0,11.2153,0.48602
-11.3091,0.942477,0.855686,1,3,0,11.4581,0.58212
-11.1213,1,0.855686,2,7,0,11.2707,0.46895
-11.7283,0.833646,0.855686,1,3,0,12.2355,0.638424
-11.1833,0.927447,0.855686,1,3,0,12.3341,0.446259
-11.9442,0.909156,0.855686,2,7,0,11.9447,0.659088
-11.1546,0.99313,0.855686,2,3,0,12.0063,0.544711
-11.2413,0.982211,0.855686,1,1,0,11.2421,0.568354
-11.0992,0.998308,0.855686,1,3,0,11.2328,0.516577
-11.1006,0.999688,0.855686,1,1,0,11.1021,0.517925
-11.4065,0.964989,0.855686,2,3,0,11.4115,0.401585
-11.556,0.861123,0.855686,1,3,0,12.6746,0.618896
-11.9027,0.93484,0.855686,1,1,0,11.9278,0.655371
-11.091,1,0.855686,2,3,0,11.7856,0.495568
-11.249,0.965603,0.855686,1,3,0,11.3005,0.429947
-11.1446,0.969436,0.855686,2,7,0,11.4857,0.541099
-11.1527,0.97924,0.855686,1,3,0,11.3238,0.455934
-12.4765,0.668077,0.855686,1,3,0,13.6038,0.699432
-11.0918,0.969419,0.855686,1,3,0,12.7325,0.506702
-11.0914,0.993941,0.855686,2,3,0,11.1356,0.505591
-11.1124,0.981563,0.855686,2,3,0,11.2236,0.4738
-11.2471,0.928958,0.855686,2,3,0,11.6505,0.569636
-11.0907,0.886362,0.855686,2,3,0,12.1627,0.5031
-11.1449,0.931025,0.855686,2,3,0,11.5945,0.541213
-11.2779,0.939905,0.855686,2,7,0,11.5613,0.423885
-11.0987,0.999081,0.855686,2,3,0,11.2861,0.483839
-11.0956,1,0.855686,2,3,0,11.0985,0.487254
-11.2068,0.968245,0.855686,1,3,0,11.2947,0.560102
-11.0906,1,0.855686,2,3,0,11.1904,0.497379
-11.1076,0.981849,0.855686,2,3,0,11.2201,0.523202
-11.4579,0.901751,0.855686,1,3,0,11.7431,0.39405
-11.1632,1,0.855686,2,7,0,11.4025,0.547589
-11.1163,1,0.855686,1,1,0,11.1534,0.528454
-11.142,0.994659,0.855686,1,1,0,11.143,0.540104
-11.0917,0.965724,0.855686,2,3,0,11.405,0.493535
-11.209,0.969933,0.855686,1,3,0,11.2764,0.560654
-15.1566,0.60394,0.855686,2,3,0,15.5446,0.815622
-14.866,1,0.855686,2,7,0,15.1886,0.193318
-14.8663,0.999993,0.855686,3,7,0,14.8669,0.193308
-15.3975,0.934916,0.855686,1,1,0,15.8494,0.177386
-13.5692,1,0.855686,1,1,0,15.1915,0.241905
-11.2298,0.871075,0.855686,2,3,0,15.6012,0.56572
-11.3714,0.971445,0.855686,1,1,0,11.3761,0.592904
-11.4799,0.97843,0.855686,1,1,0,11.5117,0.609004
-11.1469,0.954251,0.855686,1,3,0,11.8457,0.458042
-11.206,0.987817,0.855686,1,1,0,11.2078,0.440105
-11.3964,0.987242,0.855686,2,3,0,11.3967,0.40313
-11.3569,1,0.855686,1,1,0,11.4326,0.409486
-11.0988,0.996122,0.855686,1,3,0,11.3561,0.483735
-11.2526,0.820939,0.855686,2,3,0,12.4943,0.429148
-13.4168,0.776245,0.855686,2,3,0,13.4168,0.751166
-12.1482,1,0.855686,1,1,0,13.2019,0.675968
-12.3183,0.96957,0.855686,1,1,0,12.4768,0.688607
-12.7795,0.922343,0.855686,1,1,0,12.8992,0.718143
-12.1275,1,0.855686,1,1,0,12.7231,0.674349
-11.0921,0.966251,0.855686,1,3,0,12.4175,0.492615
-11.0921,0.955398,0.855686,1,3,0,11.3212,0.492615
-11.136,0.930219,0.855686,2,3,0,11.6035,0.462285
-11.136,0.999991,0.855686,1,1,0,11.1456,0.462267
-11.631,0.917085,0.855686,1,3,0,11.6902,0.372186
-11.3104,1,0.855686,2,3,0,11.5678,0.417641
-11.1027,1,0.855686,2,3,0,11.2685,0.519619
-11.5917,0.905333,0.855686,1,3,0,11.7055,0.623238
-11.2662,0.929572,0.855686,1,3,0,12.36,0.426267
-11.1076,0.996918,0.855686,2,3,0,11.294,0.476765
-11.0908,0.987294,0.855686,2,3,0,11.2032,0.503914
-11.2007,0.985586,0.855686,2,3,0,11.2153,0.55853
-12.1977,0.864596,0.855686,2,3,0,12.5202,0.679764
-11.7667,1,0.855686,1,1,0,12.1594,0.642359
-11.5235,1,0.855686,1,1,0,11.7536,0.614792
-11.0973,1,0.855686,2,3,0,11.448,0.485247
-11.5051,0.774679,0.855686,2,3,0,12.8697,0.612392
-11.7109,0.986777,0.855686,2,3,0,11.7486,0.636597
-11.4347,1,0.855686,1,1,0,11.6733,0.602628
